branch	sha
experiment/proof-carrying-obligation-v1	babefa381499e8b0883cd09e5673c2920ac3c23e
experiment/proof-carrying-stress-20260909	120350cd8ba377764003c6e4ea7341076d4c652c
experiment/recoverability-model-genesis	ebc6b52ff1339dafb74ec4a9d90698756983aebd
experiment/replay-gated-promotion-v1	4f03be5acc34ce23775c19cd7f291ba001bf8b67
experiment/shared-runtime-arc3-transfer-v1	31063b89f23423c0b47f25dfa10063a2db26b1d7
experiment/shared-schema-runtime-bridge-v1	bc59cda805f141b6cf3aecc02e926edb90f68d67
experiment/unified-arc3-continuation-v1	1fd841ce490790b73a436dbc1c3f3c06c11921be
experiment/unified-arc3-multilevel-v1	ef718042107d054b175ee62ef2b332eae9218dc0
experiment/unified-arc3-transfer-v1	ab32c4ba719e57d982c09c39ee921d33a7b7b33e
experiment/unified-consequence-loop-v1	9bfa646373408579e0c2f217faac5f7925c85ecc
g20-cube-verifier-repair	a097d08f245f93dc34e76809cde4bc641a867a41
gate1-v1-v2-integration	8ed973053c03ea2efd08d47f94ba14ca0461bd56
gate2-live-integration-8ed9730	a9ebb1492f3c218911267d1139041fab1078772f
grammar-genesis-v1	46dde6647d8e264c0f0abc00ba6770d32b81603f
kernel-purification-cycle-1	b3714928de3584acee3fd3a3eeabdac263dd0578
main	5d448c0ecc82ff3945d009963064ebbb67d2f308
minimum-calculus-self-audit	ad83daa2320a55b6a5470127a4e6a640bcb307ae
minimum-calculus-tournament	70ad4d7396c912d9a05298001f7ef3beb19e6800
msi/endogenous-grammar-expansion-v1	b6995c746e95a58a2a0d8aef0ad2d6729fe9a068
msi/lean-proof-operator-genesis-v1	83df6a262156814230c9200f0f05972770b1aae4
msi/lean-proof-term-genesis-v1	e10dd6919082f9ade70e460f6770af8757acb8c8
msi/multilevel-self-expansion-v1	da30b6f898a2e3e354bc658a9b82b2ed397f6f6f
msi/residual-derived-schema-genesis-v1	e83d71fe29635ebea667266c1bafd3d540a04959
msi/residual-invents-interface-shape-v1	2e72312356146c537b638894637019bfb57db444
msi/residual-invents-new-node-type-v1	235d2e729f4d59885bcb088a6ac2bc2b338d0085
msi/residual-synthesizes-new-probe-v1	eb72eabc22a215d4d619a932f53bd24de53e1bb6
msi/unscripted-constructor-family-genesis-v1	7f962c53da728045ea8455976b9a4ee93c953ead
msi/verified-development-theorem-v1	c7e783d248bd43c1af6669c521c388842ebbb6db
msikernel-groundup-v0	93e90dc2dc6c74b49c1a975ce689e3d519e83723
natural-orbit-genesis-v1	b15fd24ef0b2a3501ab097432e3f7f962736989e
natural-orbit-ultimate-genesis-v3	c021cef29006d8300ee3f16ce4c815fef2e05a62
noncyclic-convergent-concept-genesis-v1	d2c24479f761157dd6b9699f947d51863aa8316e
nucleus-free-warranted-completion-v0	486fecd8d33d38a4765284c2a7a0a64184742d43
nucleus-universal-property-v0	c9b3c82b367d9612f94bea3ce5446ffc0728c35d
periodic-table-reasoning-v1	8f2e1c307709dd4a9ff571d5c31c27360c28967c
periodic-table-reasoning-v3	111b3eb1c76c52f96462fc5c24731f351210f913
periodic-table-reasoning-v3-free-representation	ca35a338edd21e6062c169d89885cf8abc9320c6
proof-carrying-developmental-computer-v0	4425591155b3f6523c7b8aacbb48958f197b2bbb
purify-developmental-kernel-v1	9f8e6a227da3b7dbb5eca9df6005001e93ac8668
qck-core-v1	da83a534ef793999eea6bac3eadad1c2b80aba23
qck-finite-linear-v1	21a712cbe64a8a91a288acc0b4f6e1f5d74cec9a
qck-unified-v1	fc112771bd0a24e40e31e4eaef61ca0442103dd4
qck-v1-documentation	baef39cd7b32c860e2d7aa80a95f3826b8a52738
qck-v1-frozen	fc112771bd0a24e40e31e4eaef61ca0442103dd4
qck-v1-migration	51ea5ab8121099173bc8d4edb6c83a5bcb7f3fb1
qckn-adapter-v1-frozen	51ea5ab8121099173bc8d4edb6c83a5bcb7f3fb1
recursive-development-frontier-v1	273caa5df62f50df883428c45e9be1fb3ad89128
recursive-discovery-compiler-v1	1a8e59d40c21ae8f621e933c858e2d4f794da293
recursive-discovery-compiler-v2-live-attachment	a348060b8f335831d20cdc0ec0880cea62c57589
recursive-process-compounding	1f4f59f7e24a64f4db16df56417cc407aa99f52c
remove-finite-open-development-v16	4ec71efd5e931f48160398e1cc21e1aa22f4d175
residual-driven-realizer-synthesis	5d682d1da72010b269be2fcdf1a3149100ae81f3
